sentences,labels
EXCELENTE ATENDIMENTO ,1
EXCELENTE ATENDIMENTO ,1
ATENDIMENTO PERFAZER ,1
 ATENDENTE   PRESTATIVO  CONSEGUIR RESOLVER UMAR SOLICITACAO  VIR  ARRASTAR PARIR  RESOLVER   FICAR ATE   HORARIO D    SO SAIR   RESOLVER        GOSTEI   ATENDIMENTO ,1
 ATENDIMENTO   NIVEL  HORRIVEL   ATENDIMENTO REMOTO   DEMORAR  LEVAR   4 HORAR    IMPOSSIBILITAR  TRABALHAR  ACREDITO   FALHO NAO   PESSOA  ATENDENTE      PROCESSAR   FERRAMENTA  ATENDIMENTO REMOTO  HAVER PROBLEMA  INSTACAO  JAVA    ATENDIMENTO    DIRETO PARIR UMAR MESA ESPECIALIZAR  JA   ATENDENTE   CONSULTAR  PROCEDIMENTO  HORAR  ATRASAR     ATENDIMENTO    EFICIENTE  ALEM  NAO  AFETADO   TRABALHAR    ATENDIMENTO       AUSENCIA ,2
TECNICO  EFETUOU  ATENDIMENTO   COMPETENTE ,0
 SPT    PERMISSAO PARIR TRABALHO   COMPARTILHADO DEMORAR PARIR VOLTAR ,2
PESSIMO ATENDIMENTO  IMPRESSORAS  APRESENTANDO PROBLEMA,2
 NAO CONSEGUIR ENTENDER  CAMPO  NENHUM   SCM  S ,2
PARABENS PARIR EQUIPAR ,1
 SOLICITACAO  PARIR   ATUALIZADA  NOTAR  PARIR COMPARTILHADO  SMS  NAO COMPARTILHADO  RSUD  SMS       INFORMACAO  LOTACAO  PRESTADOR  SERVICO RENATA FERREIRA  SANTOS  ATUALIZADA  LOCALIZADOR  PESSOAS  CONFORMAR SOLICITAR  INCIDENTE ACIMA  ,0
NAO ATENDERAM  CHAMADO      ESTAMOS PRECISANDO  TROCA  TONER    ,0
OTIMO    ATENDIMENTO,1
 AGUARDAR   RETIRAR  TELEFONE   VINCULAR  RECOMENDO   MANDAR  PESQUISAR    ELIMINAR  SOLICITAR FATO  CRER  OCORRER,2
 MOTIVAR  HD  NAO  INSTALAR NAO  POSSIVEL EFETUAR  IMPRESAO SEGURO ,2
APOS VARIOS CHAMDOS REGISTRAR  FINALMENTE ALGUEM RESPONDER OBJETIVAMENTE   DUVIDAR SOBRAR  PAINEL INFORMAR  REALMENTE HAVER UMAR MUDANCA   DE2014 ,2
EXCELENTE ATENDIMENTO  PROBLEMA RESOLVER RAPIDAMENTE   TOTAL EFICIENCIA     ,1
PROBLEMA RECORRENTE  CONFORMAR INFORMAR PELAR SUPORTE JA  ENVIAR MENSAGEM PARIR ALEMANHA   PREVISAO  REGULARIZACAO ,2
EXCELENTE TRABALHO  RAPIDO  EFICAZ    ,1
  BOM  ATENDIMENTO  ONOFRE,1
  BOM  ATENDIMENTO    ONOFRE,1
IMPRESSORA NAO  IMPRIMIR COLORIR ,2
EXCELENTE  ATENDIMENTO    ONOFRE,1
 BOM  ATENDIMENTO,1
 VERDADE  COMPUTADOR VOLTAR   NORMAL ANTAR  CHEGAR  TECNICO      INSPECAO  NAO DETECTAR PROBLEMA  SERIO ,0
OTIMO ATENDIMENTO  ENSINAR  PASSAR  PASSAR  INSTALACAO ,1
 ,1
EXCELENTE ,1
FIZ   ACOES ORIENTAR PELAR TIC  ATE  PRESENTAR  NAO  ATENDIDO  SOLICITO CONTATO PARIR   PROBLEMA  RESOLVER ,2
PASSO  EXPOR     TRANSMITIR PELAR PESSOA  PARTICIPAR  TREINAMENTO      CHAMAR   SI   RESPONDER    SERVICO FICAR AQUEM  EXPECTATIVA      NEGATIVO   1   TREINAMENTO PREVER 4H   DURAR  1H   2  ESPERAVASE   TREINAMENTO EXPLORAR   MODULO     FICAR   SUPERFICIALIDADE  LIMITANDOSE  UMAR APRESENTACAO     3  SEQUER   MODULO  APRESENTAR        TREINAMENTO  HAVER  RECOMENDACAO PARIR  SOLICITAR  OUTRO TREINAMENTO   SERIAR  PROFUNDAR   DEVER  CONTRATAR PELAR TIC JUNTAR    ,2
SERVICO PRESTAR  ATRASAR ,2
SOLICITEI  CRIACAO  UMAR PASTAR NP3  PERMISSAO  ACESSO PARIR  USUARIO   PASTAR  CRIAR  SEXTAFEIRA    USUARIO NAO  ACESSO       COMPUTADORES JA  REINICIAR      PASTAR  ACESSO RESOLVER NADO ,2
ATENDIMENTO  BOM   PRAZO EXCELENTE ,1
 PROBLEMA NAO  SOLUCIONADO  FICANDO  SINCRONISMO   DIA 804 ,2
 ATENDIMENTO   IMEDIATO ,1
 EFICIENTE,1
 ATENDIMENTO   IMEDIATO ,1
 ATENDIMENTO   IMEDIATO ,1
 ATENDIMENTO   IMEDIATO ,1
 CHAMAR SO  RESOLVER   PASSAR  TRES PESSOA      TELEFONAR FICAR COMIGO   HORAR    NAO       ACONTECER  ACHO   MAU   DEVER  PASSAR PARIR  APOIAR   FICAM  RESOLVER   NAO CONHECER  PELAR    INFORMAR RECEBER   CONSEGUIR RESOLVER    PRECO  FICAR UMAR HORAR  TELEFONAR PARIR  PASSAR PARIR  APOIAR  ,2
GOSTEI   DESEMPENHO  TECNICO MANOEL PORTUGAL   RESOLVER  PROBLEMA  INSTALACAO  BAU ,1
DESCOBERTA  CAUSAR  PERIODO  INATIVIDADE X RETORNAR  FERIA   SOLUCAO DEMANDAR   ENVOLVER     RENEGOCIACAO PELAR GERENCIA  CONFORMAR ORIENTACAO    ,0
NAO  REALIZAR CHAMAR EXTERNO   LIBERAR,2
NAO  REALIZAR CHAMAR EXTERNO   LIBERAR,2
AGRADECO IMENSAMENTE  GENTILEZA  PRESTEZA  PROFISSIONALISMO     ATENDENTE ICARO,1
OTIMO ATENDIMENTO ,1
ATENDIMENTO  BOM     S  COMENTARIOS,1
EXCELENTE ,1
   ATENDIDO ,1
 ATENDIMENTO   IMEDIATO ,1
EXCELENTE ATENDIMENTO ,1
DIFERENTE  INFORMAR   TELEFONAR   SOLICITACAO DEVER   PELAR GERENTE  NAO PELAR COORDENACAO    RETRABALHO ,2
 ATENDIMENTO  EXCELENTE ,1
RAPIDEZ  AGILIDADE  ATENDER  CHAMAR,1
 BOM  ANALISTA  CONHECEDOR  PROCESSAR   CORTE  EDUCAR ,1
NAO  REALIZAR CHAMAR EXTERNO   LIBERAR,2
NAO  LIBERAR DDD   LIBERAR ,2
NAO OBTER RETORNAR ,2
NAO  LIBERAR  LIGACAO  DDD   LIBERAR ,2
APOS RECEBER  ATENDIMENTO  TELEFONAR   ATENDIMENTO LOCAR  OUVIR  ATENDENTES   EPISODIO  INEXPLICAVEL   SERIAR LEVAR PARIR OUTRO NIVEL  ATENDIMENTO       RECEBER UMAR LIGACAO    TRATARSE  ARQUIVO   DISPOSITIVO PARTICULAR  NAO HAVER SUPORTAR      FATO    ARQUIVO  IMPORTAR PARIR ALGUM   PETROBRAS   DISPONIVEL PRA ALGUEM       DISPOSITIVO PARTICULAR       FICAR PERDIDO   ,2
ATENDIMENTO EXCELENTE ,1
EXCELENTE   PELAR RAPIDO ATENDIMENTO  PARABENS ,1
OTIMO ATENDIMENTO  OBRIGAR ,1
ATENDIMENTO RAPIDO  EFICIENTE ,1
 RESOLVER  ,1
OTIMO ATENDIMENTO ,1
EXCELENTE ATENDIMENTO ,1
ATENDEU EXCELENTEMENTE CONFORMAR SOLICITAR ,1
 ATENDIMENTO SUPERAR  EXPECTATIVA  PRAZO  RESOLVIDO RAPIDAMENTE ,1
ATENDIMENTO EXCELENTE,1
95   CHAMAR  RESOLVER  FALTO EXCLUIR  TELEFONAR 7593747  FICHA  EMPREGADOS ,0
 PELAR PRONTO ATENDIMENTO ,1
EXCELENTE ATENDIMENTO,1
DEVIDO HAVER  ERRAR  SOLICITACAO   PRECISAR ABRIR  CHAMAR ,0
 TRANQUILO ,0
 MODULO  SEGURANCA  BANCO  BRASIL NAO   FUNCIONAR  INTERNET EXPLORER  FUNCIONAR   FIRE FOX ,0
 ATUALIZACAO  LICENCA  SERVIDOR  FEITO RAPIDAMENTE  EQUIPE   PARABEM ,0
OTIMO ATENDIMENTO ,1
PLUGIN  BANCO INSTALAR  POREM  SITE  SANTANDER INFORMAR   NECESSARIO INSTALAR  MODULO  PROTECAO  SANTANDER  PROBLEMA CONTINUAR,2
SERA NECESSARIO   SOLICITACAO,2
OTIMO ATENDIMENTO,1
MTO ,1
ATENDIMENTO RAPIDO  EFICIENTE  PARABENS  EQUIPAR ,1
NAO  INSTALAR  COMPLEMENTO ,2
,1
 NAO ABRIR  CHAMAR ,2
OTIMO  ,1
 EQUIPAR   ATENDER   ATENCIOSO   PROFISSIONAL REALIZAR  ATIVIDADES  ACORDAR   PADRAO ,0
SOLICITACAO ATENDIDO ,1
AGUARDO ACAO  OBRIGACAO  TIC,2
GENTILEZA  PRESTEZA  FATORES MARCANTE  ATENDIMENTO,1
   ATENDER  OBRIGAR ,1
EXCELENTE ATENDIMENTO,1
EXCELENTE ATENDIMENTO,1
 TARDAR  ACHO   CHAMAR  ENCERRAR  ENGANIR  CONTINUAMOS AGUARDAR  SDS ,0
EDUACADA  RESOLVER SUPER RAPIDO,1
EXCELENTE ATENDIMENTO ,1
PROVAVELMENTE  DEVER   CRITERIO  PESQUISAR  JOB  QUESTAO  POSTAR PARIR RODAR  BACKGROUND NAO  POSSIVEL   EXECUTAR ,2
PARABENIZAR  ATENDENTE  DEVER FALHO    NAO  LOGAR   MAQUINA  ENSINAR PASSAR  PASSAR PARIR SANAR  PROBLEMA,1
  AGUARDAR PARIR VERIFICACAO  RESOLUCAO  ESPERA    2H ,0
 881 APRESENTAR INDISPONIBILIDADE  REALIZAR ACESSO REMOTO   PROBLEMA NAO  RESOLVER ,2
 PROFISSIONAL    ATENDER DEMONSTRAR ALTO INDICE  COMPROMETIMENTO TECNICO  CORTESIA  ATENDIMENTO ,1
ATENDENTE CORDIAL       TI       AR ,2
    EXELENTE ATENDIMENTO  COLABORADOR  EDUCAR  SOLICITAR  RAPIDEZ  PRECISAO ,1
 BOM  MATIVERAM CONTATO ATE SOLUCIONAR  PROBLEMA ,0
 ATENDER PRONTAMENTE   FORMAR ASSERTIVO PELAR ELIZABETE DINIZ DANTAS ,1
ATENDENTE  BOM ,1
NAO  POSSIVEL CORRIGIR  CITRIX     CAPTURAR  MICRO   PROBLEMA  AGUARDANDO RETORNAR ,0
OTIMO ATENDIMENTO  PAR  PROFISSIONAL  TI    SOLICITACAO NAO  ATENDIDO PELAR ATENDIMENTO REMOTO  INDISPONIVEL    CHAMAR ,1
EXCELENTE ATENDIMENTO,1
ATENDIMENTO RAPIDO  EFICIENTE ,1
 RECOMENDAR INSTALAR  2 GB  MEMORIA    DESKTOP DISPOR   2 GB   LOTUS NOTES PASSAR   CONFLITO APOS  LIMPEZA  REGISTRO FEITO N  ATENDIMENTO  ABRIREI OUTRO CHAMAR ESPECIFICO PARIR  NOTES ,0
EXCELENTE ATENDIMENTO   MUIITOOO GRATA  ATENCAO,1
 TECNICO ATENDER RAPIDAMENTE   INFORMAR   PROBLEMA  UMAR LIMITACAO     NAO HAVER PREVISAO  SOLUCAO   DEMANDAR  INFORMAR   SUPERVISOR ,1
OTIMO,1
AGUARDANDO  VISITAR  TECNICO PARIR EXECUTAR  CONFIGURACAO ,2
   ESPERAR DURANTE   CONTATO    APARENTEMENTE   ATENDENTE  PREENCHER   CADASTRAR  CHAMAR    CRER   AUTOMATIZAR      ENTENDO   QUESTAO   PREFIXAR  DIFERENTE ENTRAR IMOVEL  UMAR DECISAO INTERNO  TIC BUSCAR UMAR  ORGANIZACAO   ENTANTO   CLIENTE INDIVIDUAL ACABAR  PREJUDICAR  NAO  SUAR DEMANDAR ATENDIDO   CASAR COMER   CRER   PROPRIO ATENDIMENTO TIC DEVER PROVIDENCIAR  INSTALACAO    RAMAL   CANCELAMENTO  ANTERIOR   ANUENCIA  CLIENTE INDIVIDUAL    GERENTE  MINIMIZAR  IMPACTAR  OBRIGAR  CLIENTE INDIVIDUAL  ABRIR   CHAMAR ,2
EXCELENTE ATENDIMENTO ,1
EXCELENTE ATENDIMENTO ,1
 BOM ,1
EXCELENTE  AGIL ATENDIMENTO  MUITA PROATIVIDADE   ,1
 PELAR RAPIDO ATENDIMENTO ,1
DEVER PROBLEMA  ACESSO   MICRO  LIGAR  TARDAR,0
 CERTAR,0
VENHO ATRAVES D  REGISTRAR  OTIMO ATENDIMENTO     OBRIGAR,0
MNFD SATISFAZER   ATENDIMENTO ,1
PASSO  PASSO REPASSADO  ATENDENTE AJUDOUME  RESOLUCAO  PROBLEMA  PARABENS  COLEGA ,1
RESOLVIDO    1 HORAR  PARABENS ,1
  HAVER OUTRO  ALEM  BONGAR ,2
BOM,1
RAPIDO  EFICIENTE ,1
ATENDIMENTO PERFAZER ,1
 BOM,1
RAPIDEZ  CLAREZA  ATENDIMENTO  OTIMO ,1
 PESSOAL  10  ATENDEU RAPIDINHO  RESOLVER  PROBLEMA  NOTEBOOK  FICAR  RAPIDO   ,1
AGUARDA ,0
 ATENDENTE   EFICIENTE  ORIENTACAO  PARIR SOLUCIONAR  PROBLEMA ,1
CHAMADO ENCERRAR   SUAR RESOLUCAO ,2
EXCELENTE ,1
SUPEROU  EXPECTATIVA,1
  INDISPONIVEL  ATENDENTE SO INFORMAR SITUACAO APOS   ATENDIMENTO GERAR PERDA   ,2
 ATENDIMENTO   IMEDIATO ,1
ATENDIMENTO  EFICIENCIA,1
SATISFEITA   SERVICO ,1
 COLABORADOR RESOLVEU PLENAMENTE  PROBLEMA,1
ATENDIMENTO RAPIDO  EFICIENTE ,1
ATENDENTE  EDUCAR POREM      AR  PREVISAO  RETORNAR ,2
ATENDIMENTO RAPIDO   EXCELENTE QUALIDADE,1
ATENDIMENTO EXCELENTE,1
ATENDIMENTO  BOM ,1
 ATENDIMENTO REMOTO NAO  FUNCIONAR   PREJUDICAR  ANDAMENTO  CHAMAR      S SOLUCAO PORPOSTA PELAR ATENDENTE NAO RESOLVER  PROBLEM      PROPO  SOLUCAO ,2
 PUGLIN  BANCO  BRASIL NAO  EXECUTAR  SUCESSO PELAR CONECTAR ,0
ATENDENTE  EDUCAR POREM      AR  PREVISAO  RETORNAR ,2
PARABEM ,1
   ATENDIDO ,1
AGRADECEMOS  PRESTEZA  ATENDENTE ,1
BOM ATENDIMENTO      CHAMAR  NAO DEMORAR  PARIR   ATENDIDO ,0
ATENDIMENTO  BOM ,1
100 ,1
EXCELENTE ATENDIMENTO  PARABENS   TECNICO ,1
SOLUCAO  PROBLEMA  RAPIDO  ATENDENTE  PRESTATIVO  ATENCIOSO ,1
CONTINUA   JEITO,2
 ATENDENTE PE PASSAR  RAMAL     ENTRAR  CONTATO   AREA,0
ALEM  SOLICITAR  ATUALIZACAO  IE  FEITO OUTRO TRES SOLICITACAO  NAO  RESOLVIDO ,2
ATENDIMENTO EFICIENTE ,1
ACESSO DEVER  SOLICITAR  BOTAO TI,0
 ATENDER RAPIDAMENTE   EFICIENCIA ,1
OTIMO ATENDIMENTO ,1
EXCELENTE ,1
 LIGAR CANCELAR  CHAMAR  13042015  S 1045  NAO DEVER   FINALIZAR COMER CONCLUIDO ,2
OTIMO ATENDIMENTO ,1
FALTOU REINSTALAR  DATA LINK,2
FACO  ELEOGIO  ATENDENTE D  PEDIR  PESSOA COMPETENTE  EDUCAR   PRESTATIVO  ENFIM  EXCELENTE ATENDIMENTO ,1
 ATENCIOSO  ATENDENTE  PARABENS ,1
 COMENTARIO  ,0
 COMENTARIO  ,0
OTIMO,1
 PROBLEMA PERCISTIU  NENHUM AVANCAR ,2
 BOM  ATENDIMENTO  EQUIPAR  TIC ,1
EXCELENTE ATENDIMENTO    ATENDENTE  RAPIDO  PRATICAR  EFICIENTE  EFICAZ  PARABENS ,1
NAO  FEITO  ATUALIZACAO  SERA SOLICITAR  DIP ,0
OK,0
OTIMO ATENDIEMENTO,1
OTIMO,1
NAO ENTENDER    SOLICITACAO PRECISO  TRATAR  SEPARAR  SOLICITACAO  INSTALACAO  PROGRAMAR  RECEITA FEDERAL  NUMERO INC000022743650   UMAR UNICO LIGACAO  UMAR UNICO SOLUCAO GERAR PARALELAMENTE   CONSISTIR  ORIENTACAO  ACESSAR  CONECTE  BAIXAR  INSTALAR SO  APLICATIVO ,2
EXCELENTE ATENDIMENTO   RAPIDO ,1
OK,0
NAO ENTENDER    SOLICITACAO PRECISO  TRATAR  SEPARAR  SOLICITACAO  INSTALACAO  PLUGIN  BANCO  BRASIL  NUMERO INC000022743636   UMAR UNICO LIGACAO  UMAR UNICO SOLUCAO GERAR PARALELAMENTE   CONSISTIR  ORIENTACAO  ACESSAR  CONECTE  BAIXAR  INSTALAR SO  APLICATIVO ,2
 PESSOA   ATENDEU  NOTA 1000 ,1
 ,0
GRATIFICANTE   PROFISSIONAL COMPETENTE  OBRIGAR ,1
ACAO EFETIVA ASSOCIAR  UMAR POSTURAR CORDIAL  GRATO ,1
ATENDIMENTO EXCELENTE  RAPIDO  EFICAZ ,1
EXCELENTE ATENDIMENTO,1
 PROFISSIONALISMO ,1
OTIMO ATENDIMENTO ,1
EXCELENTE TRABALHAR  PROFISSIONAL   ATENDER ,1
OK ,0
 ATENDENTE MARCELO   OBJETIVO  ATUANDO  DEMANDAR   COMPETENCIA TECNICO  CORDIALIDADE ,1
EXCELENTE ATENDIMENTO,1
OTIMO ATENDIMENTO ,1
 BOM  ATENDIMENTO  EQUIPAR  TIC ,1
  NECESSARIO ENCONTRASE INDISPONIVEL   ATENDENTE APRESENTAR  ALTERNATIVO  ENCAMINHAMENTO  SOLICITACAO ATRAVES  DIP ,0
OTIMO ATENDIMENTO ,1
 LEGAL  SERVIDOR  EDUCADO ABRACOS ,1
 PELAR ATENDIMENTO ,2
ATENDIMENTO CORDIAL  RESOLUCAO RAPIDO,2
 ENTANTO    DIFICULDADE PARIR ACESSAR  WORDFLOW,0
ATENDIMENTO ATENCIOSO  EFICAZ   ,1
BOM ATENDIMENTO ,1
ATENDIMENTO  CORTEZ ,1
SATISFACAO   PROFISSIONAL QUALIFICAR  PREPARAR  BUSCAR  EXCELENCIAESTAO  PARABEM ,1
SUPORTE TECNICO  RAPIDO  EFICIENTE   ,1
ATENDIMENTO EXCELENTE,1
OTIMO  ,1
OTIMO ATENDIMENYTO  RAPAZ ,1
ATENDIMENTO  BOM ,1
  ATENDER ,1
ABRI  SOLICITACAO   NAO CONSEGUIR INFORMACAO SOBRAR  SITUACAO  INCIDENTE INC000022704390     STATUS DESIGNAR   DIA 84  EXTRAPOLAR    ACORDAR  NIVEL  SERVICO     NAO RECEBER INFORMACAO  ANDAMENTO D     SOLICITACAO  SIMPLESMENTE FINALIZAR    NAO SERVIR PARIR ABSOLUTAMENTE NADO ,2
 BOM  ATENDIMENTO  PELAR RINALDO ,1
   IDENFICADO  PROBLEMA PELAR TECNICO  NAO FICAR CLARO PARIR MIM   EXCLUIR  PERFIL  SOLICITANTE  GPAS ,0
 APOIADOR AFIRMAR   TRATAR   PROBLEMA  SITE EXTERNAR  ENTRETANTO  OUTRO,2
 ATENDIMENTO  REALIZAR   EFICIENCIA  ATENDER PERFEITAMENTE  DEMANDAR   GERENCIA ,1
 BOM,1
   ATENDER ,1
FIQUEI  SATISFAZER   RECEOCAO  ATENDIMENTO   OBSERVAR  RAPIDEZ  EFICIENCIA ,1
RESOLVIDO   HABIL ,1
EXCELENTE ATENDIMENTO ,1
   ATENDIDO,1
 BOM ATENDIMENTO ,1
 BOM TRABALHAR  ,1
EXCELENTE ,1
OBJETIVA  EFICIENTE,1
OTIMO ATENDIMENTO,1
AGRADECIMENTO  TECNICO PELAR PRONTO ATENDIMENTO  ATENCAO ,1
COLABORADOR EXEMPLAR  PARABENS ,1
COLABORADOR EXEMPLAR  PARABENS ,1
 SATISFACAO FICAR  CONTAR  DISPOSICAO  ATENDENTE  FINALIZAR  ATENDIMENTO   DEDICAR  RESOLVER  QUESTAO APRESENTAR ,1
EXCELENTE ATENDIMENTO,1
CORDIALIDADE  APOIAR TECNICO ,1
 CHAMAR NAO  RESOLVER     BUSCAR  SOLUCAO ,2
AGRADECER  GENTILEZA  PACIENCIA  ATENDENTE ILTON,1
,1
 BOM  RAPIDO  EDUCAR  EFICIENTE ,1
EXCELENTE  COLABORADOR  ATENDER  SOLICITACAO ,1
 PROBLEMA NAO  RESOLVER  NAO  PROPOSTO ALTERNATIVO PARIR FACILITAR  EXECUCAO  DEMANDAR  DEMORA PARIR CONSULTAR INFORMACAO COMPLEMENTAR   CONTRIBUICAO EFETIVA ,2
CONTINUO AGUARDAR CONTATO PARIR FECHAR SESSAO  NOTAR  SERVIDOR   ACESSAR    CITRIX     IMPACTAR NEGATIVAMENTE  ATIVIDADES  BORDAR  UMPA  SOLICITO   AGILIZAR  ATENDIMENTO    BREVIDADE POSSIVEL ,2
EXCELENTE ATENDIMENTO  RAPIDO  EFICIENTE ,1
EXCELENTE COMUNICACAO   USUARIO ,1
ATENDIMENTO IMPECAVEL,1
 EFICIENTE,1
SERVICO  EXCELENTE QUALIDADE  ATENDENTE ATENCIOSO  COMPETENTE ,1
SERVICO ATENCIOSO    PRESTEZA,1
PRESTEZA  AGILIDADE  RESOLVER DEMANDAR    EQUIPAR ENVOLVIDO ,1
SO   MUDANCA  CT    IMPRESSORA     ATENDIMENTO NORMALIZAR ,2
UMAR PENO  NAO  ACESSAR  REUNIAO ONLINE  ATENDENTE   PRO ATIVO   RESOLVER,0
OTIMO ATENDIMENTO ,1
CLIENTE INDIVIDUAL  ATENDERIA  NECESSIDADE    PLATAFORMA   REGIME  OFFSHORE    SI SO MOSTRA  DIFICULDADE  SOLICITAR MATERIAL  BORDO   TIC NAO ATENDE  REAL NECESSIDADE  UNIDADE ,2
 APOIAR  CONSULTOR  EXCELENTE  ATENDER  EXPECTATIVA PARIR SOLUCAO  PROBLEMA ,1
NAO    ABRIR  GPAS    ACATAR  DECISAO  CORPO GERENCIAL,0
AGRADECO  EMPENHAR  EQUIPAR  RESOLVER  PROBLEMA      FATO  NAO  COMER CONTATAR  RESPONSAVEL PELAR ATENDIMENTO   PONTAR NEGATIVAR  MODELAR  TRABALHAR  TIC  PREJUDICAR  ANDAMENTO  UMAR    PRECISAR    SALA PARIR   ATENDIMENTO      CAUSAR  PROBLEMA NAO  DESCOBRIR   VOLTAR  OCORRER  OUTRO PESSOA ,1
 02 PROBLEMA PROBLEMA CITAR    RESOLVER  ACESSO  REDAR    RUIDAR INTERMITENTE APRESENTAR PELAR MAQUINA CONTINUAR PENDENTE ,2
RAPIDO  EFICIENTE ,1
 PROBLEMA SO  RESOLVER ALGUM DIA  ,2
 BOM ,1
RAPIDO  EFICIENTE  CARACTERISTICO COMUM D  EQUIPAR ,1
RAPIDO  EFICIENTE  CARACTERISTICO COMUM D  EQUIPAR ,1
RAPIDO  EFICIENTE  CARACTERISTICO COMUM D  EQUIPAR ,1
RAPIDO  EFICIENTE  CARACTERISTICO COMUM D  EQUIPAR ,1
RAPIDO  EFICIENTE  CARACTERISTICO COMUM D  EQUIPAR ,1
RAPIDO  EFICIENTE  CARACTERISTICO COMUM D  EQUIPAR ,1
RESOLVIDO  LOUVOR,1
  ATENDER   FORMAR EFICAZ,1
 INSISTENCIA  PROATIVIDADE  RESOLVER  PROBLEMA   ATENDENTE MERECER  ELOGIAR   ,1
  ATENDIMENTO INFORMAR  8 HORAR UTIL    ATENDIMENTO REAL   56 HORAR UTIL ,2
EFICIENCIA  RAPIDEZ  ATENDIMENTO,1
GOSTARIA  PARABENIZAR  TECNICO GUSTAVO PELAR ATENDIMENTO RAPIDO  PRECISAR ,1
ATENDIMENTO EXCELENTE,1
 BOM    ATUACAO  TECNICO  GOSTAR  ,1
 ATENDENTES    SOLICITO    CHAMAR DEMORAR  PARIR  RESOLVER ,2
TESTEI  REDAR EXTERNO    SKYPE NAO FUNCIONAR ,2
PRONTO ATENDER  FORMAR IMEDIATO,1
ATENDIMENTO PRESTATIVO  EDUCAR  PROFISSIONAL  TECNICO ,1
EXCELENTE ATENDIMENTO  PRAZO  ATENCAO  QUALIDADE,1
ATENDIMENTO RAPIDO  CONFORMAR  SOLICITACAO  EFICAZ  EFICIENTE ,1
NAO  ATENDER  PRAZO ESTABELECER,2
 NOTEBOOK APRESENTAR TELA AZUL  3 VEZAR  FEVEREIRO   ENTANTO NAO CONSEGUIR REPRODUZIR  PROBLEMA   NAO HAVER REGRAR PARIR REPRODUZIR   ,0
PRONTO ATENDER  FORMAR IMEDIATO,1
PRONTO ATENDER  FORMAR IMEDIATO,1
PRONTO ATENDER  FORMAR IMEDIATO,1
PRONTO ATENDER  FORMAR IMEDIATO,1
PRONTO ATENDER  FORMAR IMEDIATO,1
PRONTO ATENDER  FORMAR IMEDIATO,1
PRONTO ATENDER  FORMAR IMEDIATO,1
PRONTO ATENDER  FORMAR IMEDIATO,1
PRONTO ATENDER  FORMAR IMEDIATO,1
PRONTO ATENDER  FORMAR IMEDIATO,1
 VANESSA BALTAZAR  OTIMA  RESOLVER  PROBLEMA  WEBPUBLISHER   MAQUINA    OBRIGAR ,1
OK,0
  EXCELENTE ATENDIMENTO,1
  ATENDIMENTO CONTINUAR N  NIVEL OTIMO,1
 PETROBRAS NAO OFERECER SUPORTAR NOTES PARIR USUARIO  MAC     CASAR OFERECER  FACILITAR   CONDUCAO   ATIVIDADE ,0
EXCELENTE TRABALHAR ,1
 NAO ENTENDER  ASSUNTO   ACORDAR  COMENTARIO  NAO SERIAR PRUDENTE  PASSAR  ANTI  VIRUS  MAQUINA  TAMBEM  ALEM  PROCEDIMENTO REMOTO ADOTADO      COMENTARIO PARIR  INC000022689746,2
EXCELENTE,1
ATENDIMENTO REALIZAR  EXCELENCIA ,1
PREZADOS     RESPOSTAR NAO ATENDER  S NOSSASA NECESSIDADE  COMUNICACAO EXTERNAA INTERRUPCAO  LIMITACAO   COMUNICACAO EXTERNO OCASIONAR PREJUIZOS PARIR   TRABALHAR ,2
 SATISFEITO   PROFISSIONAL GIL,1
ENVIEI DIP    EMPREGAR  NAO  ATENDER  SO APOS DESPACHAR   DIP   EMPREGAR   EMPREGAR  ABSURDO ,2
EXCELENTE  ATENDIMENTO  QUALIDADE  FEEDBACK  PRAZO ,1
CHAMADO  INC000022716179  ESTAMOS   SEGUINTE MENSAGEM APOS LIGAR  COMPUTADOR  VOCE   MENBRO   ADMINISTRADORES  COMPUTADOR   INSTALAR  HARDWARE  SMART CARD READER USB   SOLICITAR AOPOIO   RETIRAR MENSAGEM,0
ATENDIDO PRONTAMENTE  ANTAR  PRAZO  TOTAL EMPENHAR ,1
ATENDIMENTO RAPIDO  EFICAZ,1
EXCELENTE ATENDIMENTO ,1
   PEDIR  BACK UP   ARQUIVO  POREM NAO  POSSIVEL  REALLIZACAO D  SERVICO  PELAR FATO   ARQUIVO  CORROMPIDO   POSSIBILIDADE     PROCEDIMENTO ,0
GOSTARIA  PARABENIZAR  ATENDENTE PELAR DESTREZA  RAPIDEZ   ANTEDERMOS ,1
SERVICO  NAO  REALIZAR   AGUARDAR ,2
 PELAR PRONTO ATENDIMENTO  AGRADECER    VEZAR MANDAR  INCIDENTE PARIR BANDEJAR    ATENDER ,1
 PROBLEMA OCORRER   INSTALAR  PC   TROCAR NAO CONFIGURAR ADEQUADAMENTE  DEIXAR  LENTAR  DISPONIBILIZAR   PROCESSADOR ,0
ASSUNTO RESOLVIDO,0
ESTAO  PARABENS ,1
  ATENDIMENTO AQUEM  DESEJAR,2
 TAMPAR  SOLUCAO LEVAR   6 HORAR   ACAO   ENVOLVIMENTO,2
SERVICO EXECUTAR  EFICIENCA   OBRIGAR ,1
EXCELENTE ATENDIMENTO  PROATIVIDADE 10 ,1
 BOM ,1
   EXCELENTE ATENDIMENTO ,1
